timestamp_sec,hour,node_id,pressure_bar,flow_rate_lps,motor_amps,grid_voltage_v,fault_type,is_fault
0,0,JUNC_01,3.895,3.64,13.4,227.5,normal,0
0,0,JUNC_02,3.68,3.6,13.4,208.3,normal,0
0,0,JUNC_03,3.398,3.61,13.4,221.0,normal,0
0,0,LEAK_NODE,3.929,3.62,13.4,217.2,normal,0
3600,1,JUNC_01,3.896,2.41,13.1,221.0,normal,0
3600,1,JUNC_02,3.7,2.41,13.1,218.6,normal,0
3600,1,JUNC_03,3.386,2.39,13.1,220.1,normal,0
3600,1,LEAK_NODE,3.922,2.38,13.1,228.3,normal,0
7200,2,JUNC_01,3.925,2.42,13.1,220.8,normal,0
7200,2,JUNC_02,3.713,2.39,13.1,222.0,normal,0
7200,2,JUNC_03,3.413,2.35,13.1,227.2,normal,0
7200,2,LEAK_NODE,3.914,2.37,13.1,219.5,normal,0
10800,3,JUNC_01,3.901,5.99,14.0,219.4,normal,0
10800,3,JUNC_02,3.702,6.01,14.0,225.3,normal,0
10800,3,JUNC_03,3.37,6.01,14.0,213.0,normal,0
10800,3,LEAK_NODE,3.908,5.97,14.0,224.9,normal,0
14400,4,JUNC_01,3.744,18.01,17.0,217.6,normal,0
14400,4,JUNC_02,3.353,17.96,17.0,216.7,normal,0
14400,4,JUNC_03,2.986,18.01,17.0,218.2,normal,0
14400,4,LEAK_NODE,3.824,17.98,17.0,220.5,normal,0
18000,5,JUNC_01,3.513,29.98,20.0,225.7,normal,0
18000,5,JUNC_02,2.763,30.04,20.0,213.3,normal,0
18000,5,JUNC_03,2.308,30.0,20.0,213.7,normal,0
18000,5,LEAK_NODE,3.729,30.01,20.0,220.1,normal,0
21600,6,JUNC_01,3.622,26.43,19.1,212.5,normal,0
21600,6,JUNC_02,2.977,26.38,19.1,225.7,normal,0
21600,6,JUNC_03,2.526,26.4,19.1,216.5,normal,0
21600,6,LEAK_NODE,3.789,26.38,19.1,217.1,normal,0
25200,7,JUNC_01,3.725,21.64,17.9,214.9,normal,0
25200,7,JUNC_02,3.209,21.55,17.9,227.2,normal,0
25200,7,JUNC_03,2.813,21.59,17.9,216.8,normal,0
25200,7,LEAK_NODE,3.84,21.59,17.9,222.6,normal,0
28800,8,JUNC_01,3.802,14.41,16.1,221.5,normal,0
28800,8,JUNC_02,3.471,14.4,16.1,220.8,normal,0
28800,8,JUNC_03,3.147,14.38,16.1,223.7,normal,0
28800,8,LEAK_NODE,3.855,14.39,16.1,220.5,normal,0
32400,9,JUNC_01,3.832,10.78,15.2,220.8,normal,0
32400,9,JUNC_02,3.583,10.81,15.2,224.9,normal,0
32400,9,JUNC_03,3.269,10.8,15.2,221.3,normal,0
32400,9,LEAK_NODE,3.909,10.83,15.2,224.6,normal,0
36000,10,JUNC_01,3.86,9.62,14.9,220.1,normal,0
36000,10,JUNC_02,3.591,9.61,14.9,211.4,normal,0
36000,10,JUNC_03,3.306,9.6,14.9,211.6,normal,0
36000,10,LEAK_NODE,3.873,9.6,14.9,219.7,normal,0
39600,11,JUNC_01,3.902,8.4,14.6,226.3,normal,0
39600,11,JUNC_02,3.632,8.38,14.6,220.3,normal,0
39600,11,JUNC_03,3.314,8.35,14.6,217.8,normal,0
39600,11,LEAK_NODE,3.926,8.38,14.6,219.5,normal,0
43200,12,JUNC_01,3.898,7.2,14.3,217.3,normal,0
43200,12,JUNC_02,3.68,7.19,14.3,219.9,normal,0
43200,12,JUNC_03,3.348,7.18,14.3,218.8,normal,0
43200,12,LEAK_NODE,3.947,7.19,14.3,222.4,normal,0
46800,13,JUNC_01,3.892,8.41,14.6,228.0,normal,0
46800,13,JUNC_02,3.627,8.41,14.6,223.4,normal,0
46800,13,JUNC_03,3.33,8.43,14.6,221.1,normal,0
46800,13,LEAK_NODE,3.883,8.44,14.6,222.4,normal,0
50400,14,JUNC_01,3.859,10.82,15.2,222.3,leak,1
50400,14,JUNC_02,3.573,10.83,15.2,213.2,leak,1
50400,14,JUNC_03,3.242,10.79,15.2,224.2,leak,1
50400,14,LEAK_NODE,3.872,10.8,15.2,223.1,leak,1
54000,15,JUNC_01,3.78,15.63,16.4,223.5,leak,1
54000,15,JUNC_02,3.443,15.59,16.4,220.7,leak,1
54000,15,JUNC_03,3.077,15.6,16.4,223.0,leak,1
54000,15,LEAK_NODE,3.853,15.61,16.4,220.2,leak,1
